Species_name	woody	annual	perennialnonclonal	monocarpic	polycarpic	clonal	branching	cyclicity	Primaryroot	BB0	BB0_mn10	BB_gtmn10	BB0R	BB0_mn10R	BB_gtmn10R	BBsize	BBdepth	BBRsize	BBRdepth	finalCGO	persistence	offspring	offspring_wsmall	spread	clonalindex	dispersibility	Rsprouter	PositionRB	RoleRB
"""Antennaria carpatica (Wahlenb.) Bluff & Fingerh."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	1	1	0.5	3	0	0		
"""Antennaria dioica (L.) Gaertn."""	0	0	0	0	0	1	symp	2	0	7	11	0	7	11	0	18	3.4	18	3.4	9	4	4	4	10.5	5	0	0		
"""Anthemis arvensis L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Anthemis cotula L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Anthemis ruthenica M. Bieb."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Anthericum liliago L."""	0	0	0	0	0	1	symp	2	0	3.8	15	0	3.8	15	0	18.8	4.2	18.8	4.2	9	4	1	1	0.5	3	0	0		
"""Anthericum ramosum L."""	0	0	0	0	0	1	symp	1	0	3.3	15	0	3.3	15	0	18.3	4.3	18.3	4.3	9	4	0.9	0.9	0.5	3	0	0		
"""Anthoxanthum aristatum Boiss."""	0	1	0	0	0	0		1	0	5	0	0	5	0	0	5	1	5	1								0		
"""Anthoxanthum odoratum L."""	0	0	0	0	0	1	symp	1	0	5	11	0	5	11	0	16	3.8	16	3.8	9	3.6	4.3	4.3	2.6	4	0	0		
"""Anthriscus caucalis M. Bieb."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
