name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,l,t,k,f,fchange,r,n,biotopeTarget,ffh6510,ffh6210,specialTarget,seedAvailability,seeded
Festuca_pratensis,http://www.worldfloraonline.org/taxon/wfo-0000871673,NA,Poaceae,top-grass,no,no,no,no,8,NA,3,6,no,NA,6,yes,yes,no,yes,yes,yes
Festuca_rubra,http://www.worldfloraonline.org/taxon/wfo-0000871854,NA,Poaceae,sub-grass,no,no,no,no,NA,NA,5,6,no,6,NA,yes,yes,no,NA,yes,yes
Festuca_spec,http://www.worldfloraonline.org/taxon/wfo-4000014703,NA,Poaceae,grass,no,no,no,no,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,no
Filipendula_ulmaria,http://www.worldfloraonline.org/taxon/wfo-0000983427,NA,Rosaceae,herb,no,no,no,no,7,5,NA,8,no,NA,4,no,no,no,NA,NA,no
Filipendula_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000999867,NA,Rosaceae,herb,no,3,3,no,7,6,5,3,chwet,8,2,yes,no,yes,NA,yes,yes
Fragaria_vesca,http://www.worldfloraonline.org/taxon/wfo-0000993770,NA,Rosaceae,herb,no,no,no,no,7,NA,5,5,no,NA,6,no,no,no,NA,NA,no
Fragaria_viridis,http://www.worldfloraonline.org/taxon/wfo-0001007688,NA,Rosaceae,herb,no,no,no,no,7,5,5,3,no,8,3,no,no,no,NA,NA,no
Fumaria_officinalis,http://www.worldfloraonline.org/taxon/wfo-0000693355,NA,Papaveraceae,herb,no,no,no,no,6,6,3,5,no,6,7,no,no,no,NA,NA,no
Galeopsis_tetrahit,http://www.worldfloraonline.org/taxon/wfo-0000968061,NA,Lamiaceae,herb,no,no,no,no,7,NA,3,5,no,NA,6,no,no,no,NA,NA,no
Galium_aparine,http://www.worldfloraonline.org/taxon/wfo-0000968296,NA,Rubiaceae,herb,no,no,no,no,7,6,3,NA,no,6,8,no,no,no,NA,NA,no
Galium_mollugo,http://www.worldfloraonline.org/taxon/wfo-0000969499,NA,Rubiaceae,herb,no,D,no,no,7,6,3,4,no,7,NA,yes,yes,no,NA,yes,yes
