id,reference,exposition,target_type,group_type,NMDS1,NMDS2,mean1,mean2
L2_10_2021,2021,south,dry_grassland,2021,-0.1839765748316639,0.5102136801782532,-0.02236579753931777,0.1905167811556726
L2_10_seeded,seeded,south,dry_grassland,seeded,1.0755608571318624,0.08389479834878756,0.5377147617840167,-0.09756544043457768
L2_11_2018,2018,south,hay_meadow,2018,-0.9878974562489755,-0.1803572602801975,-0.11340211503171282,-0.11907083492843955
L2_11_2019,2019,south,hay_meadow,2019,-0.5512568561106869,0.10746931071779277,-0.5579864812065191,-0.11310545854624686
L2_11_2020,2020,south,hay_meadow,2020,-0.30001130775901114,0.16591216137487705,-0.11173635142972259,0.11953103169259205
L2_11_2021,2021,south,hay_meadow,2021,-0.26208895698657514,0.4335385896539047,-0.02236579753931777,0.1905167811556726
L2_11_seeded,seeded,south,hay_meadow,seeded,0.7508997129171212,-0.5161469782372106,0.5377147617840167,-0.09756544043457768
L2_12_2018,2018,south,hay_meadow,2018,-1.116380541851957,-0.03394542384405085,-0.11340211503171282,-0.11907083492843955
L2_12_2019,2019,south,hay_meadow,2019,-0.5442984631788317,0.20624874687694786,-0.5579864812065191,-0.11310545854624686
L2_12_2020,2020,south,hay_meadow,2020,-0.3884894327765213,0.36755001640671303,-0.11173635142972259,0.11953103169259205
L2_12_2021,2021,south,hay_meadow,2021,-0.3746101467795856,0.57457117023483,-0.02236579753931777,0.1905167811556726
L2_12_seeded,seeded,south,hay_meadow,seeded,0.6191515409734184,-0.6659677087937426,0.5377147617840167,-0.09756544043457768
L2_13_2018,2018,south,hay_meadow,2018,-1.0543972233955914,-0.05946894914913846,-0.11340211503171282,-0.11907083492843955
L2_13_2019,2019,south,hay_meadow,2019,-0.5583494574750059,0.22769578138595603,-0.5579864812065191,-0.11310545854624686
L2_13_2020,2020,south,hay_meadow,2020,-0.30865086388726815,0.3704078543449656,-0.11173635142972259,0.11953103169259205
L2_13_2021,2021,south,hay_meadow,2021,-0.18034110013337193,0.3217991032345808,-0.02236579753931777,0.1905167811556726
L2_13_seeded,seeded,south,hay_meadow,seeded,0.7022438622704333,-0.805864050411236,0.5377147617840167,-0.09756544043457768
L2_14_2018,2018,south,dry_grassland,2018,-1.1415850409143526,0.12956994883815875,-0.11340211503171282,-0.11907083492843955
L2_14_2019,2019,south,dry_grassland,2019,-0.4249795225637588,0.09743489910411396,-0.5579864812065191,-0.11310545854624686
L2_14_2020,2020,south,dry_grassland,2020,-0.05071831861396782,0.37583921020563743,-0.11173635142972259,0.11953103169259205
L2_14_2021,2021,south,dry_grassland,2021,-0.16751976673532318,0.4462011578709968,-0.02236579753931777,0.1905167811556726
L2_14_seeded,seeded,south,dry_grassland,seeded,0.8682386738442046,0.3576458059172749,0.5377147617840167,-0.09756544043457768
L2_15_2018,2018,south,dry_grassland,2018,-1.1494815786274544,0.1596422535722575,-0.11340211503171282,-0.11907083492843955
L2_15_2019,2019,south,dry_grassland,2019,-0.35635379668142286,0.1756332390729711,-0.5579864812065191,-0.11310545854624686
L2_15_2020,2020,south,dry_grassland,2020,-0.21002110199545365,0.25272136822021407,-0.11173635142972259,0.11953103169259205
L2_15_2021,2021,south,dry_grassland,2021,-0.39291413218456134,0.3108927815633825,-0.02236579753931777,0.1905167811556726
L2_15_seeded,seeded,south,dry_grassland,seeded,0.7267452333815035,0.6006860578900943,0.5377147617840167,-0.09756544043457768
L2_16_2018,2018,south,hay_meadow,2018,-1.3944660653635677,-0.19774571899581048,-0.11340211503171282,-0.11907083492843955
L2_16_2019,2019,south,hay_meadow,2019,-0.3465029504876068,0.2232687265636904,-0.5579864812065191,-0.11310545854624686
L2_16_2020,2020,south,hay_meadow,2020,-0.3570668575849071,0.473981537117096,-0.11173635142972259,0.11953103169259205
L2_16_2021,2021,south,hay_meadow,2021,-0.1710061109290879,0.3133675229064629,-0.02236579753931777,0.1905167811556726
L2_16_seeded,seeded,south,hay_meadow,seeded,0.7850288661730561,-0.39908238966673065,0.5377147617840167,-0.09756544043457768
L2_17_2018,2018,south,dry_grassland,2018,-1.0842329508405506,-0.10077808491330388,-0.11340211503171282,-0.11907083492843955
L2_17_2019,2019,south,dry_grassland,2019,-0.5897629071421072,0.22840391931901408,-0.5579864812065191,-0.11310545854624686
L2_17_2020,2020,south,dry_grassland,2020,-0.45359828370851896,0.4791175789785652,-0.11173635142972259,0.11953103169259205
L2_17_2021,2021,south,dry_grassland,2021,-0.3370601482868779,0.4141011111733018,-0.02236579753931777,0.1905167811556726
L2_17_seeded,seeded,south,dry_grassland,seeded,0.933355284417061,0.37595395420739,0.5377147617840167,-0.09756544043457768
L2_18_2018,2018,south,hay_meadow,2018,-0.9476548842858562,-0.0372425175370995,-0.11340211503171282,-0.11907083492843955
L2_18_2019,2019,south,hay_meadow,2019,-0.45477106988631183,0.1717248450586257,-0.5579864812065191,-0.11310545854624686
L2_18_2020,2020,south,hay_meadow,2020,-0.265243061784162,0.18724747267412073,-0.11173635142972259,0.11953103169259205
L2_18_2021,2021,south,hay_meadow,2021,-0.2734835009503444,0.25588041992792193,-0.02236579753931777,0.1905167811556726
L2_18_seeded,seeded,south,hay_meadow,seeded,0.6817980587764066,-0.6422913087809479,0.5377147617840167,-0.09756544043457768
L2_19_2018,2018,south,dry_grassland,2018,-0.8711149598447839,-0.16380796267859357,-0.11340211503171282,-0.11907083492843955
L2_19_2019,2019,south,dry_grassland,2019,-0.5184612658424687,0.34840638747043173,-0.5579864812065191,-0.11310545854624686
L2_19_2020,2020,south,dry_grassland,2020,-0.38445590398385127,0.37456980882332,-0.11173635142972259,0.11953103169259205
L2_19_2021,2021,south,dry_grassland,2021,-0.35538845412432607,0.5620513457094629,-0.02236579753931777,0.1905167811556726
L2_19_seeded,seeded,south,dry_grassland,seeded,0.9571578611535901,0.3751354519046336,0.5377147617840167,-0.09756544043457768
L2_20_2018,2018,south,hay_meadow,2018,-1.21612434224937,0.012981863788723985,-0.11340211503171282,-0.11907083492843955
L2_20_2019,2019,south,hay_meadow,2019,-0.40938134704759604,0.247878520321337,-0.5579864812065191,-0.11310545854624686
L2_20_2020,2020,south,hay_meadow,2020,-0.17340631007737412,0.24174937898967377,-0.11173635142972259,0.11953103169259205
L2_20_2021,2021,south,hay_meadow,2021,-0.05872853716565218,0.27049954165972245,-0.02236579753931777,0.1905167811556726
L2_20_seeded,seeded,south,hay_meadow,seeded,0.6093667348852725,-0.7951429910717579,0.5377147617840167,-0.09756544043457768
L2_21_2018,2018,south,hay_meadow,2018,-1.1045773326697694,0.09198031151834664,-0.11340211503171282,-0.11907083492843955
L2_21_2019,2019,south,hay_meadow,2019,-0.41128550501917793,0.32041072036189666,-0.5579864812065191,-0.11310545854624686
L2_21_2020,2020,south,hay_meadow,2020,-0.230163466611072,0.39430480411066166,-0.11173635142972259,0.11953103169259205
